location,area,prefix,suffix
seattle,all,seattle,NA
seattle,eastside,seattle,est
seattle,kitsap,seattle,kit
seattle,olympia,seattle,oly
seattle,seattle,seattle,see
seattle,snohomish,seattle,sno
seattle,south_king,seattle,skc
seattle,tacoma,seattle,tac
houston,all,houston,NA
vancouver,all,vancouver,NA
vancouver,vancouver,vancouver,van
vancouver,north_shore,vancouver,nvn
vancouver,burnaby,vancouver,bnc
vancouver,delta,vancouver,rds
vancouver,tricities,vancouver,pml
vancouver,richmond,vancouver,rch
